#OTU ID	SZMB7	SZ.SC5	SZMB12	SZ.SC2	SZ.SC7	SZMB10	SZMB6	SZ.SC4	SZMB5	SZ.SC6	SZ.SC1	SZMB9
NR_027562.1_Anaerofustis_stercorihominis_strain_WAL_14563_16S_ribosomal_RNA_gene__partial_sequence	2	0	0	0	0	0	0	0	0	0	0	2
NR_027573.1_Intestinibacter_bartlettii_strain_WAL_16138_16S_ribosomal_RNA_gene__partial_sequence	3	0	1	0	0	2	46	0	22	0	0	2
NR_028623.1_Lactobacillus_equi_strain_YIT_0455_16S_ribosomal_RNA_gene__partial_sequence	7	6	0	57	6	4	1	46	11	11	216	2
NR_027596.1_Mitsuokella_multacida_strain_DSM_20544_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	0	0	0	0	0	0	0	0
NR_028685.1_Citrobacter_rodentium_strain_DO_14784_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	0	0	0	0	0	0	0	0
NR_028624.1_Bacillus_funiculus_strain_NAF001_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	4	0	0	0	3	0	0	0	0
NR_028684.1_Syntrophomonas_sapovorans_strain_OM_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_028706.1_Pseudomonas_veronii_strain_CIP_104663_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	1	0	0	1	0	0	0	0	0
NR_028862.1_Allisonella_histaminiformans_strain_MR2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	1	0	0	110	0
NR_028740.1_{Clostridium}_xylanovorans_strain_HESP1_16S_ribosomal_RNA_gene__partial_sequence	25	1	2	8	5	16	8	0	10	0	0	5
NR_028786.1_Samsonia_erythrinae_strain_CFBP_5236_16S_ribosomal_RNA_gene__partial_sequence	0	2	0	1	0	0	0	0	0	1	0	0
NR_028785.1_{Clostridium}_scindens_strain_ATCC_35704_16S_ribosomal_RNA_gene__complete_sequence	3	0	1	0	0	1	2	0	1	0	0	3
NR_028751.1_Pandoraea_sputorum_strain_LMG_18819_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	2	0	0
NR_028827.1_Shuttleworthia_satelles_strain_VPI_D143K-13_16S_ribosomal_RNA_gene__partial_sequence	120	372	10	140	778	0	0	299	0	30	20	0
NR_028816.1_Turicibacter_sanguinis_strain_MOL361_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	1	0	0	0	0	0
NR_028797.1_Selenomonas_infelix_strain_VPI_D_75_B-30_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	2	0	0	0	0	0	0	0	0
NR_028810.1_Lactobacillus_ingluviei_strain_KR3_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	1	0	0	0	0
NR_028839.1_Veillonella_montpellierensis_strain_ADV_281.99_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	0	0	0	0	0	0	0	0
NR_028840.1_Mitsuokella_jalaludinii_strain_M9_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	3	0
NR_029160.1_Ruminococcus_callidus_strain_ATCC_27760_16S_ribosomal_RNA_gene__partial_sequence	4	0	6	1	3	48	9	1	104	0	1	2
NR_028961.1_Faecalibacterium_prausnitzii_strain_ATCC_27768_16S_ribosomal_RNA_gene__partial_sequence	1301	1	835	2	1	86	890	1	441	1	2	31
NR_028911.1_Anaerovorax_odorimutans_strain_NorPut_16S_ribosomal_RNA_gene__partial_sequence	4	0	4	0	2	0	4	0	8	0	1	0
NR_028883.1_Dorea_longicatena_strain_111-35_16S_ribosomal_RNA_gene__partial_sequence	6	0	4	0	1	0	9	0	4	0	1	0
NR_028889.1_Brevundimonas_aurantiaca_strain_CB-R_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	18	0	0
NR_028915.1_Anaerostipes_caccae_strain_L1-92_16S_ribosomal_RNA_gene__partial_sequence	5	0	1	0	0	0	1	0	0	0	0	1
NR_028920.1_Clostridium_uliginosum_strain_CK55_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	3	0	0	0	0	0	0	0
NR_028997.1_Subdoligranulum_variabile_strain_BI_114_16S_ribosomal_RNA_gene__partial_sequence	1	1	1	0	0	1	0	0	0	0	3	1
NR_028975.1_Corynebacterium_tuberculostearicum_strain_Medalle_X_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	5	1	0
NR_029042.2_Pseudomonas_lini_strain_DLE411J_16S_ribosomal_RNA_gene__partial_sequence	1	2	0	0	0	12	5	1	6	1	0	4
NR_029041.1_Weissella_koreensis_strain_S-5623_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	0	0	0
NR_029018.1_Lactobacillus_coryniformis_subsp._torquens_strain_30_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	1	0	0	0	0
NR_029097.1_Oribacterium_sinus_strain_AIP_354.02_16S_ribosomal_RNA_gene__partial_sequence	2	1	0	1	0	0	0	1	0	0	0	0
NR_042136.1_Bacillus_simplex_strain_DSM_1321_16S_ribosomal_RNA_gene__complete_sequence	0	172	0	60	1641	0	0	5	0	20	0	0
NR_041960.1_Blautia_luti_strain_BInIX_16S_ribosomal_RNA_gene__complete_sequence	8	3	1	2	1	17	4	10	7	0	34	11
NR_041307.1_Bacteroides_intestinalis_strain_341_16S_ribosomal_RNA_gene__partial_sequence	75	0	86	11	0	55	3	0	86	0	0	0
NR_036880.1_Bacillus_mycoides_strain_273_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	4	0	0	0	0	554	0	0
NR_036869.2_Syntrophococcus_sucromutans_strain_S195_16S_ribosomal_RNA_gene__complete_sequence	923	1481	6	5197	10591	1	58	12932	113	1067	5495	9
NR_029355.1_{Clostridium}_methylpentosum_strain_R2_16S_ribosomal_RNA_gene__partial_sequence	134	0	1550	90	0	1429	1111	0	1131	0	3	303
NR_029248.1_Tyzzerella_nexilis_strain_DSM_1787_16S_ribosomal_RNA_gene__complete_sequence	476	0	5	0	22	200	409	0	295	0	0	19
NR_029171.1_Aggregatibacter_actinomycetemcomitans_strain_277_49-50{8}_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_029188.1_Oxalobacter_formigenes_strain_OXB_16S_ribosomal_RNA_gene__partial_sequence	20	0	5	0	0	0	0	0	0	0	0	0
NR_029315.1_Anaerofilum_agile_strain_F_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	3	0	0	0	0	0
NR_029263.1_Clostridium_intestinale_strain_Catt39_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	3	1	0	0	0	0	0	0	0
NR_029325.1_Schwartzia_succinivorans_strain_S1-1_16S_ribosomal_RNA_gene__partial_sequence	0	3	0	7	12	0	0	1	0	0	0	0
NR_029335.1_Holdemania_filiformis_strain_J1-31B-1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	7	0	1	0	0	0	0	0
NR_036835.1_Chlamydia_muridarum_strain_MoPn_Wiess-Nigg_16S_ribosomal_RNA_gene__complete_sequence	54	0	10	0	0	0	0	0	0	0	0	0
NR_036788.2_Lactobacillus_pontis_strain_LTH_2587_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	14	1	0	0	0	0	0	288	0
NR_036777.1_{Ruminococcus}_torques_strain_VPI_B2-51_16S_ribosomal_RNA_gene__partial_sequence	11	0	0	0	0	8	6	0	0	0	0	0
NR_036769.1_Arthrobacter_creatinolyticus_strain_GIFU_12498_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	1	0	0
NR_036786.1_Clostridium_botulinum_strain_ELTDK_103_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	1	0	0	0	0	0	0	0	0
